coupling,DeltaE1,DeltaE2
0.0,2.999999999999744,2.999999999999794
0.02,2.9388195760653097,2.9435529790614012
0.04,2.875360261871492,2.8851408144443127
0.06,2.8097529491370565,2.8249119370556315
0.08,2.742138555907868,2.763027409257294
0.1,2.6726671056539963,2.6996601773580515
0.12,2.6014965457338555,2.634994071523142
0.14,2.528791286973899,2.5692225413256047
0.16,2.4547204657951767,2.5025471357730424
0.18,2.379455954167401,2.4351757614413216
0.2,2.303170168373473,2.3673207788125588
0.22,2.2260337519437385,2.299197021845476
0.24,2.148213227659813,2.231019845431099
0.26,2.0698687251773613,2.163003316581328
0.28,1.9911518923382125,2.0953586655105383
0.3,1.912204089185753,2.028293101706044
0.32,1.8331549454061964,1.962009078807558
0.34,1.7541213376096856,1.8967040637323116
0.36,1.6752068171743524,1.8325708343815137
0.38,1.596501497618469,1.7697983013719139
0.4,1.518082398028934,1.7085728274817669
0.42,1.4400142407066134,1.6490800078923868
0.44,1.3623507206710883,1.591506877958178
0.46,1.2851363045340385,1.536044534990733
0.48,1.2084086773281548,1.4828911969109662
0.5,1.1322020369647028,1.432255772894365
0.52,1.0565515324099763,1.3843620863898494
0.54,0.981499243123352,1.33945396278693
0.56,0.9071021843749385,1.2978014597930922
0.58,0.8334428609964561,1.2597085535865666
0.6,0.7606428221178305,1.2255225521484654
0.62,0.6888793955423651,1.1956453068828914
0.64,0.6184051549866822,1.1705457978845928
0.66,0.5495684912503478,1.1507726729762737
0.68,0.48283169521860003,1.1369635858235014
0.7000000000000001,0.41878014019289367,1.1298455900219722
0.72,0.3581129724235623,1.1302178456191498
0.74,0.3016039802706203,1.1389062166171087
0.76,0.2500245911851664,1.1433813723574247
0.78,0.20403313500076337,1.1195846407137182
0.8,0.16405468829749736,1.1128467219660862
0.8200000000000001,0.13019259068049394,1.1232095736178138
0.84,0.10220880371883823,1.1499684416223133
0.86,0.07958109367893229,1.1918006021891543
0.88,0.06161001094798024,1.24699468570887
0.9,0.047533439351362006,1.3136946088546395
0.92,0.03661658181567873,1.3900927211740495
0.9400000000000001,0.02820587935589458,1.4745484950760854
0.96,0.021751134597536748,1.5656410605806883
0.98,0.016806303708357007,1.6621765968183695
1.0,0.013018942007946066,1.76317084266919
1.02,0.010115308132256473,1.8678211296366172
1.04,0.007885156031413487,1.9754764100911189
1.06,0.006168125597270091,2.0856094870024577
1.08,0.004842386589729131,2.1977930820730407
1.1,0.0038155464177194176,2.311680025210187
1.12,0.0030175548487889614,2.4269872296110933
1.1400000000000001,0.0023952560688229596,2.543482895932165
1.16,0.0019082479698226962,2.660976362503291
1.18,0.0015257543212143787,2.779310075043142
1.2,0.0012242701104128173,2.8983532325496526
1.22,0.000985791589975804,3.017996749996243
1.24,0.0007964860192259948,3.138149252694326
1.26,0.0006456910303285213,3.2587338788654705
1.28,0.0005251607786007639,3.3796857164036425
1.3,0.00042849684783163866,3.5009497386102595
1.32,0.00035071758107818596,3.622479133975446
1.34,0.0002879312944656931,3.744233948361561
1.36,0.00023708759522378386,3.866179975950409
1.3800000000000001,0.00019578756788263263,3.988287849184559
1.4000000000000001,0.0001621384425405381,4.110532288614735
1.42,0.00013464196889145796,4.232891481836951
1.44,0.00011210840840902847,4.355346567124798
1.46,9.359004954490047e-05,4.477881202353274
1.48,7.832965277998483e-05,4.600481203691615
1.5,6.572034713059338e-05,4.723134241642342
1.52,5.527433579999297e-05,4.845829584407568
1.54,4.6598394362717954e-05,4.968557880421649
1.56,3.937464386183365e-05,5.091310973517437
1.58,3.3345395650030696e-05,5.214081745268274
1.6,2.83011964228308e-05,5.3368639801607
1.62,2.4071334948416734e-05,5.459652249913958
1.6400000000000001,2.05163270408093e-05,5.582441813965339
1.6600000000000001,1.7521906926276642e-05,5.705228533646526
1.68,1.4994239720067526e-05,5.828008797972878
1.7,1.2856077148626355e-05,5.950779459294274
1.72,1.10436787110757e-05,6.073537777453211
1.74,9.504323728037889e-06,6.1962813710635345
1.76,8.19431018328487e-06,6.319008175108493
1.78,7.0773292577541724e-06,6.441716403799575
1.8,6.123150413372969e-06,6.564404518062986
1.82,5.306549311967501e-06,6.687071197031074
1.84,4.606434174547758e-06,6.809715312951198
1.86,4.005136744922311e-06,6.932335909112155
1.8800000000000001,3.4878217434197722e-06,7.054932180376042
1.9000000000000001,3.042011087472929e-06,7.1775034559958755
1.92,2.657191842558859e-06,7.300049184393956
1.94,2.32448230974569e-06,7.422568919712006
1.96,2.0363718959970356e-06,7.545062309874595
1.98,1.7865039438902386e-06,7.667529085992413
2.0,1.5694687505174443e-06,7.789969052929166
